feature,importance
model_year,1075.0
engine_hp,1038.0
brand_freq,1015.0
engine_displacement_L,877.0
milage,865.0
milage_per_year,780.0
model_freq,433.0
ext_col_freq,394.0
int_col_freq,325.0
num_cylinders,110.0
is_luxury,102.0
fuel_type_Gasoline,89.0
transmission_Manual,76.0
accident,76.0
is_turbo_supercharged,72.0
engine_fuel_detail_Unknown,52.0
fuel_type_E85 Flex Fuel,49.0
is_common_color,47.0
engine_fuel_detail_Gasoline,43.0
transmission_Unknown,42.0
engine_fuel_detail_Electric,39.0
transmission_CVT,34.0
fuel_type_Unknown,30.0
fuel_type_not supported,26.0
fuel_type_Plug-In Hybrid,21.0
is_hybrid,18.0
brand_model_freq,13.0
engine_fuel_detail_Flex Fuel,12.0
fuel_type_Hybrid,11.0
engine_fuel_detail_Hybrid,8.0
is_electric,1.0
