feature,importance
milage,637.0
engine_hp,632.0
milage_per_year,565.0
model_year,506.0
brand_freq,489.0
engine_displacement_L,447.0
model_freq,353.0
ext_col_freq,284.0
int_col_freq,214.0
is_luxury,78.0
accident,74.0
transmission_Manual,50.0
num_cylinders,47.0
fuel_type_Gasoline,46.0
brand_model_freq,46.0
car_age,41.0
is_common_color,28.0
is_turbo_supercharged,28.0
engine_fuel_detail_Electric,25.0
engine_fuel_detail_Gasoline,25.0
engine_fuel_detail_Unknown,25.0
transmission_CVT,15.0
fuel_type_E85 Flex Fuel,12.0
is_hybrid,12.0
fuel_type_Unknown,9.0
engine_fuel_detail_Flex Fuel,9.0
is_electric,8.0
transmission_Unknown,4.0
fuel_type_Hybrid,4.0
fuel_type_not supported,3.0
fuel_type_Plug-In Hybrid,1.0
